ROWID,Country,State LGD Code,State,SourceYear,"State wise Macro Nutrient Status for Cycle I, Cycle II ,Cycle III","Fertilizers used in cycle namely Nitrogen, phosphorous, Potassium, organic carbon",Fertilizers level,Count of Nutrient status involved in three cycles,Samples under each cycle,YearCode,Year
50,India,38,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,2015-16,Cycle 1,Organic Carbon (OC),VH,36,2285,2015,"Financial Year (Apr - Mar), 2015"
51,India,38,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,2015-16,Cycle 1,Organic Carbon (OC),VL,81,2285,2015,"Financial Year (Apr - Mar), 2015"
52,India,38,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,2015-16,Cycle 1,Phosphorous (P),H,103,2285,2015,"Financial Year (Apr - Mar), 2015"
53,India,38,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,2015-16,Cycle 1,Potassium (K),M,281,2285,2015,"Financial Year (Apr - Mar), 2015"
54,India,38,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,2015-16,Cycle 1,Organic Carbon (OC),H,414,2285,2015,"Financial Year (Apr - Mar), 2015"
55,India,38,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,2015-16,Cycle 1,Phosphorous (P),M,536,2285,2015,"Financial Year (Apr - Mar), 2015"
56,India,38,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,2015-16,Cycle 1,Organic Carbon (OC),L,773,2285,2015,"Financial Year (Apr - Mar), 2015"
57,India,38,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,2015-16,Cycle 1,Organic Carbon (OC),M,923,2285,2015,"Financial Year (Apr - Mar), 2015"
58,India,38,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,2015-16,Cycle 1,Potassium (K),VH,946,2285,2015,"Financial Year (Apr - Mar), 2015"
59,India,38,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,2015-16,Cycle 1,Potassium (K),H,984,2285,2015,"Financial Year (Apr - Mar), 2015"
60,India,38,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,2015-16,Cycle 1,Phosphorous (P),L,1557,2285,2015,"Financial Year (Apr - Mar), 2015"
61,India,37,LADAKH,2015-16,Cycle 1,Nitrogen (N),VH,0,3028,2015,"Financial Year (Apr - Mar), 2015"
62,India,37,LADAKH,2015-16,Cycle 1,Nitrogen (N),VL,8,3028,2015,"Financial Year (Apr - Mar), 2015"
63,India,37,LADAKH,2015-16,Cycle 1,Potassium (K),VH,38,3028,2015,"Financial Year (Apr - Mar), 2015"
64,India,37,LADAKH,2015-16,Cycle 1,Nitrogen (N),L,44,3028,2015,"Financial Year (Apr - Mar), 2015"
65,India,37,LADAKH,2015-16,Cycle 1,Phosphorous (P),VH,82,3028,2015,"Financial Year (Apr - Mar), 2015"
66,India,37,LADAKH,2015-16,Cycle 1,Organic Carbon (OC),VL,83,3028,2015,"Financial Year (Apr - Mar), 2015"
67,India,37,LADAKH,2015-16,Cycle 1,Nitrogen (N),H,99,3028,2015,"Financial Year (Apr - Mar), 2015"
68,India,37,LADAKH,2015-16,Cycle 1,Phosphorous (P),VL,110,3028,2015,"Financial Year (Apr - Mar), 2015"
69,India,37,LADAKH,2015-16,Cycle 1,Potassium (K),VL,214,3028,2015,"Financial Year (Apr - Mar), 2015"
70,India,37,LADAKH,2015-16,Cycle 1,Organic Carbon (OC),L,239,3028,2015,"Financial Year (Apr - Mar), 2015"
71,India,37,LADAKH,2015-16,Cycle 1,Phosphorous (P),H,257,3028,2015,"Financial Year (Apr - Mar), 2015"
72,India,37,LADAKH,2015-16,Cycle 1,Potassium (K),H,283,3028,2015,"Financial Year (Apr - Mar), 2015"
73,India,37,LADAKH,2015-16,Cycle 1,Organic Carbon (OC),M,419,3028,2015,"Financial Year (Apr - Mar), 2015"
74,India,37,LADAKH,2015-16,Cycle 1,Organic Carbon (OC),H,503,3028,2015,"Financial Year (Apr - Mar), 2015"
75,India,37,LADAKH,2015-16,Cycle 1,Nitrogen (N),M,628,3028,2015,"Financial Year (Apr - Mar), 2015"
76,India,37,LADAKH,2015-16,Cycle 1,Potassium (K),L,859,3028,2015,"Financial Year (Apr - Mar), 2015"
77,India,37,LADAKH,2015-16,Cycle 1,Phosphorous (P),L,864,3028,2015,"Financial Year (Apr - Mar), 2015"
78,India,37,LADAKH,2015-16,Cycle 1,Potassium (K),M,1634,3028,2015,"Financial Year (Apr - Mar), 2015"
79,India,37,LADAKH,2015-16,Cycle 1,Phosphorous (P),M,1720,3028,2015,"Financial Year (Apr - Mar), 2015"
80,India,37,LADAKH,2015-16,Cycle 1,Organic Carbon (OC),VH,1785,3028,2015,"Financial Year (Apr - Mar), 2015"
81,India,34,PUDUCHERRY,2015-16,Cycle 1,Nitrogen (N),H,0,4654,2015,"Financial Year (Apr - Mar), 2015"
82,India,34,PUDUCHERRY,2015-16,Cycle 1,Organic Carbon (OC),H,0,4654,2015,"Financial Year (Apr - Mar), 2015"
83,India,34,PUDUCHERRY,2015-16,Cycle 1,Organic Carbon (OC),L,0,4654,2015,"Financial Year (Apr - Mar), 2015"
84,India,34,PUDUCHERRY,2015-16,Cycle 1,Organic Carbon (OC),M,0,4654,2015,"Financial Year (Apr - Mar), 2015"
85,India,34,PUDUCHERRY,2015-16,Cycle 1,Organic Carbon (OC),VH,0,4654,2015,"Financial Year (Apr - Mar), 2015"
86,India,34,PUDUCHERRY,2015-16,Cycle 1,Organic Carbon (OC),VL,0,4654,2015,"Financial Year (Apr - Mar), 2015"
87,India,34,PUDUCHERRY,2015-16,Cycle 1,Nitrogen (N),VH,3,4654,2015,"Financial Year (Apr - Mar), 2015"
88,India,34,PUDUCHERRY,2015-16,Cycle 1,Phosphorous (P),VH,14,4654,2015,"Financial Year (Apr - Mar), 2015"
89,India,34,PUDUCHERRY,2015-16,Cycle 1,Phosphorous (P),H,28,4654,2015,"Financial Year (Apr - Mar), 2015"
90,India,34,PUDUCHERRY,2015-16,Cycle 1,Nitrogen (N),M,50,4654,2015,"Financial Year (Apr - Mar), 2015"
91,India,34,PUDUCHERRY,2015-16,Cycle 1,Potassium (K),VH,89,4654,2015,"Financial Year (Apr - Mar), 2015"
92,India,34,PUDUCHERRY,2015-16,Cycle 1,Phosphorous (P),L,388,4654,2015,"Financial Year (Apr - Mar), 2015"
93,India,34,PUDUCHERRY,2015-16,Cycle 1,Phosphorous (P),M,452,4654,2015,"Financial Year (Apr - Mar), 2015"
94,India,34,PUDUCHERRY,2015-16,Cycle 1,Potassium (K),VL,455,4654,2015,"Financial Year (Apr - Mar), 2015"
95,India,34,PUDUCHERRY,2015-16,Cycle 1,Potassium (K),H,961,4654,2015,"Financial Year (Apr - Mar), 2015"
96,India,34,PUDUCHERRY,2015-16,Cycle 1,Nitrogen (N),L,1087,4654,2015,"Financial Year (Apr - Mar), 2015"
97,India,34,PUDUCHERRY,2015-16,Cycle 1,Potassium (K),L,1091,4654,2015,"Financial Year (Apr - Mar), 2015"
98,India,34,PUDUCHERRY,2015-16,Cycle 1,Potassium (K),M,2057,4654,2015,"Financial Year (Apr - Mar), 2015"
99,India,34,PUDUCHERRY,2015-16,Cycle 1,Nitrogen (N),VL,3513,4654,2015,"Financial Year (Apr - Mar), 2015"
100,India,34,PUDUCHERRY,2015-16,Cycle 1,Phosphorous (P),VL,3772,4654,2015,"Financial Year (Apr - Mar), 2015"
101,India,35,ANDAMAN AND NICOBAR ISLANDS,2015-16,Cycle 1,Nitrogen (N),H,0,9313,2015,"Financial Year (Apr - Mar), 2015"
102,India,35,ANDAMAN AND NICOBAR ISLANDS,2015-16,Cycle 1,Nitrogen (N),VH,5,9313,2015,"Financial Year (Apr - Mar), 2015"
103,India,35,ANDAMAN AND NICOBAR ISLANDS,2015-16,Cycle 1,Potassium (K),VH,5,9313,2015,"Financial Year (Apr - Mar), 2015"
104,India,35,ANDAMAN AND NICOBAR ISLANDS,2015-16,Cycle 1,Phosphorous (P),H,50,9313,2015,"Financial Year (Apr - Mar), 2015"
105,India,35,ANDAMAN AND NICOBAR ISLANDS,2015-16,Cycle 1,Phosphorous (P),VH,57,9313,2015,"Financial Year (Apr - Mar), 2015"
106,India,35,ANDAMAN AND NICOBAR ISLANDS,2015-16,Cycle 1,Nitrogen (N),M,58,9313,2015,"Financial Year (Apr - Mar), 2015"
107,India,35,ANDAMAN AND NICOBAR ISLANDS,2015-16,Cycle 1,Potassium (K),H,241,9313,2015,"Financial Year (Apr - Mar), 2015"
108,India,35,ANDAMAN AND NICOBAR ISLANDS,2015-16,Cycle 1,Organic Carbon (OC),H,255,9313,2015,"Financial Year (Apr - Mar), 2015"
109,India,35,ANDAMAN AND NICOBAR ISLANDS,2015-16,Cycle 1,Phosphorous (P),M,554,9313,2015,"Financial Year (Apr - Mar), 2015"
110,India,35,ANDAMAN AND NICOBAR ISLANDS,2015-16,Cycle 1,Organic Carbon (OC),VH,737,9313,2015,"Financial Year (Apr - Mar), 2015"
111,India,35,ANDAMAN AND NICOBAR ISLANDS,2015-16,Cycle 1,Potassium (K),M,969,9313,2015,"Financial Year (Apr - Mar), 2015"
112,India,35,ANDAMAN AND NICOBAR ISLANDS,2015-16,Cycle 1,Organic Carbon (OC),M,998,9313,2015,"Financial Year (Apr - Mar), 2015"
113,India,35,ANDAMAN AND NICOBAR ISLANDS,2015-16,Cycle 1,Phosphorous (P),L,1072,9313,2015,"Financial Year (Apr - Mar), 2015"
114,India,35,ANDAMAN AND NICOBAR ISLANDS,2015-16,Cycle 1,Nitrogen (N),L,2039,9313,2015,"Financial Year (Apr - Mar), 2015"
115,India,35,ANDAMAN AND NICOBAR ISLANDS,2015-16,Cycle 1,Organic Carbon (OC),VL,3103,9313,2015,"Financial Year (Apr - Mar), 2015"
116,India,35,ANDAMAN AND NICOBAR ISLANDS,2015-16,Cycle 1,Potassium (K),VL,3935,9313,2015,"Financial Year (Apr - Mar), 2015"
117,India,35,ANDAMAN AND NICOBAR ISLANDS,2015-16,Cycle 1,Potassium (K),L,4059,9313,2015,"Financial Year (Apr - Mar), 2015"
118,India,35,ANDAMAN AND NICOBAR ISLANDS,2015-16,Cycle 1,Organic Carbon (OC),L,4212,9313,2015,"Financial Year (Apr - Mar), 2015"
119,India,35,ANDAMAN AND NICOBAR ISLANDS,2015-16,Cycle 1,Nitrogen (N),VL,7198,9313,2015,"Financial Year (Apr - Mar), 2015"
120,India,35,ANDAMAN AND NICOBAR ISLANDS,2015-16,Cycle 1,Phosphorous (P),VL,7573,9313,2015,"Financial Year (Apr - Mar), 2015"
121,India,15,MIZORAM,2015-16,Cycle 1,Nitrogen (N),VH,0,9841,2015,"Financial Year (Apr - Mar), 2015"
122,India,15,MIZORAM,2015-16,Cycle 1,Potassium (K),VH,6,9841,2015,"Financial Year (Apr - Mar), 2015"
123,India,15,MIZORAM,2015-16,Cycle 1,Nitrogen (N),H,21,9841,2015,"Financial Year (Apr - Mar), 2015"
124,India,15,MIZORAM,2015-16,Cycle 1,Phosphorous (P),H,40,9841,2015,"Financial Year (Apr - Mar), 2015"
125,India,15,MIZORAM,2015-16,Cycle 1,Potassium (K),VL,41,9841,2015,"Financial Year (Apr - Mar), 2015"
126,India,15,MIZORAM,2015-16,Cycle 1,Phosphorous (P),VH,48,9841,2015,"Financial Year (Apr - Mar), 2015"
127,India,15,MIZORAM,2015-16,Cycle 1,Nitrogen (N),VL,52,9841,2015,"Financial Year (Apr - Mar), 2015"
128,India,15,MIZORAM,2015-16,Cycle 1,Organic Carbon (OC),VL,129,9841,2015,"Financial Year (Apr - Mar), 2015"
129,India,15,MIZORAM,2015-16,Cycle 1,Potassium (K),H,237,9841,2015,"Financial Year (Apr - Mar), 2015"
130,India,15,MIZORAM,2015-16,Cycle 1,Organic Carbon (OC),H,296,9841,2015,"Financial Year (Apr - Mar), 2015"
131,India,15,MIZORAM,2015-16,Cycle 1,Phosphorous (P),M,430,9841,2015,"Financial Year (Apr - Mar), 2015"
132,India,15,MIZORAM,2015-16,Cycle 1,Organic Carbon (OC),VH,450,9841,2015,"Financial Year (Apr - Mar), 2015"
133,India,15,MIZORAM,2015-16,Cycle 1,Nitrogen (N),L,1472,9841,2015,"Financial Year (Apr - Mar), 2015"
134,India,15,MIZORAM,2015-16,Cycle 1,Potassium (K),L,1827,9841,2015,"Financial Year (Apr - Mar), 2015"
135,India,15,MIZORAM,2015-16,Cycle 1,Phosphorous (P),VL,3939,9841,2015,"Financial Year (Apr - Mar), 2015"
136,India,15,MIZORAM,2015-16,Cycle 1,Organic Carbon (OC),M,5212,9841,2015,"Financial Year (Apr - Mar), 2015"
137,India,15,MIZORAM,2015-16,Cycle 1,Organic Carbon (OC),L,5909,9841,2015,"Financial Year (Apr - Mar), 2015"
138,India,15,MIZORAM,2015-16,Cycle 1,Phosphorous (P),L,7576,9841,2015,"Financial Year (Apr - Mar), 2015"
139,India,15,MIZORAM,2015-16,Cycle 1,Potassium (K),M,9902,9841,2015,"Financial Year (Apr - Mar), 2015"
140,India,15,MIZORAM,2015-16,Cycle 1,Nitrogen (N),M,10490,9841,2015,"Financial Year (Apr - Mar), 2015"
141,India,11,SIKKIM,2015-16,Cycle 1,Organic Carbon (OC),VL,4,10922,2015,"Financial Year (Apr - Mar), 2015"
142,India,11,SIKKIM,2015-16,Cycle 1,Nitrogen (N),VH,19,10922,2015,"Financial Year (Apr - Mar), 2015"
143,India,11,SIKKIM,2015-16,Cycle 1,Organic Carbon (OC),L,32,10922,2015,"Financial Year (Apr - Mar), 2015"
144,India,11,SIKKIM,2015-16,Cycle 1,Potassium (K),VL,124,10922,2015,"Financial Year (Apr - Mar), 2015"
145,India,11,SIKKIM,2015-16,Cycle 1,Organic Carbon (OC),M,130,10922,2015,"Financial Year (Apr - Mar), 2015"
146,India,11,SIKKIM,2015-16,Cycle 1,Nitrogen (N),VL,173,10922,2015,"Financial Year (Apr - Mar), 2015"
147,India,11,SIKKIM,2015-16,Cycle 1,Organic Carbon (OC),H,255,10922,2015,"Financial Year (Apr - Mar), 2015"
148,India,11,SIKKIM,2015-16,Cycle 1,Phosphorous (P),VH,265,10922,2015,"Financial Year (Apr - Mar), 2015"
149,India,11,SIKKIM,2015-16,Cycle 1,Potassium (K),L,288,10922,2015,"Financial Year (Apr - Mar), 2015"
150,India,11,SIKKIM,2015-16,Cycle 1,Nitrogen (N),H,555,10922,2015,"Financial Year (Apr - Mar), 2015"
151,India,11,SIKKIM,2015-16,Cycle 1,Potassium (K),VH,676,10922,2015,"Financial Year (Apr - Mar), 2015"
152,India,11,SIKKIM,2015-16,Cycle 1,Phosphorous (P),H,703,10922,2015,"Financial Year (Apr - Mar), 2015"
153,India,11,SIKKIM,2015-16,Cycle 1,Phosphorous (P),VL,1054,10922,2015,"Financial Year (Apr - Mar), 2015"
154,India,11,SIKKIM,2015-16,Cycle 1,Nitrogen (N),L,2968,10922,2015,"Financial Year (Apr - Mar), 2015"
155,India,11,SIKKIM,2015-16,Cycle 1,Potassium (K),H,2999,10922,2015,"Financial Year (Apr - Mar), 2015"
156,India,11,SIKKIM,2015-16,Cycle 1,Phosphorous (P),L,3567,10922,2015,"Financial Year (Apr - Mar), 2015"
157,India,11,SIKKIM,2015-16,Cycle 1,Phosphorous (P),M,5547,10922,2015,"Financial Year (Apr - Mar), 2015"
158,India,11,SIKKIM,2015-16,Cycle 1,Potassium (K),M,7049,10922,2015,"Financial Year (Apr - Mar), 2015"
159,India,11,SIKKIM,2015-16,Cycle 1,Nitrogen (N),M,7420,10922,2015,"Financial Year (Apr - Mar), 2015"
160,India,11,SIKKIM,2015-16,Cycle 1,Organic Carbon (OC),VH,10688,10922,2015,"Financial Year (Apr - Mar), 2015"
161,India,13,NAGALAND,2015-16,Cycle 1,Phosphorous (P),VH,27,19406,2015,"Financial Year (Apr - Mar), 2015"
162,India,13,NAGALAND,2015-16,Cycle 1,Nitrogen (N),VH,30,19406,2015,"Financial Year (Apr - Mar), 2015"
163,India,13,NAGALAND,2015-16,Cycle 1,Nitrogen (N),VL,47,19406,2015,"Financial Year (Apr - Mar), 2015"
164,India,13,NAGALAND,2015-16,Cycle 1,Organic Carbon (OC),VL,245,19406,2015,"Financial Year (Apr - Mar), 2015"
165,India,13,NAGALAND,2015-16,Cycle 1,Phosphorous (P),H,466,19406,2015,"Financial Year (Apr - Mar), 2015"
166,India,13,NAGALAND,2015-16,Cycle 1,Organic Carbon (OC),L,693,19406,2015,"Financial Year (Apr - Mar), 2015"
167,India,13,NAGALAND,2015-16,Cycle 1,Organic Carbon (OC),M,725,19406,2015,"Financial Year (Apr - Mar), 2015"
168,India,13,NAGALAND,2015-16,Cycle 1,Potassium (K),VH,734,19406,2015,"Financial Year (Apr - Mar), 2015"
169,India,13,NAGALAND,2015-16,Cycle 1,Nitrogen (N),L,919,19406,2015,"Financial Year (Apr - Mar), 2015"
170,India,13,NAGALAND,2015-16,Cycle 1,Organic Carbon (OC),H,1324,19406,2015,"Financial Year (Apr - Mar), 2015"
171,India,13,NAGALAND,2015-16,Cycle 1,Potassium (K),VL,1764,19406,2015,"Financial Year (Apr - Mar), 2015"
172,India,13,NAGALAND,2015-16,Cycle 1,Phosphorous (P),M,2669,19406,2015,"Financial Year (Apr - Mar), 2015"
173,India,13,NAGALAND,2015-16,Cycle 1,Potassium (K),H,2734,19406,2015,"Financial Year (Apr - Mar), 2015"
174,India,13,NAGALAND,2015-16,Cycle 1,Potassium (K),L,3009,19406,2015,"Financial Year (Apr - Mar), 2015"
175,India,13,NAGALAND,2015-16,Cycle 1,Phosphorous (P),L,5176,19406,2015,"Financial Year (Apr - Mar), 2015"
176,India,13,NAGALAND,2015-16,Cycle 1,Nitrogen (N),M,8179,19406,2015,"Financial Year (Apr - Mar), 2015"
177,India,13,NAGALAND,2015-16,Cycle 1,Nitrogen (N),H,10221,19406,2015,"Financial Year (Apr - Mar), 2015"
178,India,13,NAGALAND,2015-16,Cycle 1,Phosphorous (P),VL,11060,19406,2015,"Financial Year (Apr - Mar), 2015"
179,India,13,NAGALAND,2015-16,Cycle 1,Potassium (K),M,11158,19406,2015,"Financial Year (Apr - Mar), 2015"
180,India,13,NAGALAND,2015-16,Cycle 1,Organic Carbon (OC),VH,16405,19406,2015,"Financial Year (Apr - Mar), 2015"
181,India,12,ARUNACHAL PRADESH,2015-16,Cycle 1,Nitrogen (N),VH,168,19434,2015,"Financial Year (Apr - Mar), 2015"
182,India,12,ARUNACHAL PRADESH,2015-16,Cycle 1,Nitrogen (N),VL,207,19434,2015,"Financial Year (Apr - Mar), 2015"
183,India,12,ARUNACHAL PRADESH,2015-16,Cycle 1,Phosphorous (P),H,224,19434,2015,"Financial Year (Apr - Mar), 2015"
184,India,12,ARUNACHAL PRADESH,2015-16,Cycle 1,Phosphorous (P),VH,243,19434,2015,"Financial Year (Apr - Mar), 2015"
185,India,12,ARUNACHAL PRADESH,2015-16,Cycle 1,Organic Carbon (OC),VL,462,19434,2015,"Financial Year (Apr - Mar), 2015"
186,India,12,ARUNACHAL PRADESH,2015-16,Cycle 1,Nitrogen (N),L,546,19434,2015,"Financial Year (Apr - Mar), 2015"
187,India,12,ARUNACHAL PRADESH,2015-16,Cycle 1,Potassium (K),VL,1102,19434,2015,"Financial Year (Apr - Mar), 2015"
188,India,12,ARUNACHAL PRADESH,2015-16,Cycle 1,Potassium (K),VH,1150,19434,2015,"Financial Year (Apr - Mar), 2015"
189,India,12,ARUNACHAL PRADESH,2015-16,Cycle 1,Organic Carbon (OC),L,1234,19434,2015,"Financial Year (Apr - Mar), 2015"
190,India,12,ARUNACHAL PRADESH,2015-16,Cycle 1,Organic Carbon (OC),M,1606,19434,2015,"Financial Year (Apr - Mar), 2015"
191,India,12,ARUNACHAL PRADESH,2015-16,Cycle 1,Phosphorous (P),M,2020,19434,2015,"Financial Year (Apr - Mar), 2015"
192,India,12,ARUNACHAL PRADESH,2015-16,Cycle 1,Organic Carbon (OC),H,2130,19434,2015,"Financial Year (Apr - Mar), 2015"
193,India,12,ARUNACHAL PRADESH,2015-16,Cycle 1,Potassium (K),L,2959,19434,2015,"Financial Year (Apr - Mar), 2015"
194,India,12,ARUNACHAL PRADESH,2015-16,Cycle 1,Potassium (K),H,3260,19434,2015,"Financial Year (Apr - Mar), 2015"
195,India,12,ARUNACHAL PRADESH,2015-16,Cycle 1,Nitrogen (N),M,3780,19434,2015,"Financial Year (Apr - Mar), 2015"
196,India,12,ARUNACHAL PRADESH,2015-16,Cycle 1,Phosphorous (P),L,4564,19434,2015,"Financial Year (Apr - Mar), 2015"
197,India,12,ARUNACHAL PRADESH,2015-16,Cycle 1,Potassium (K),M,10672,19434,2015,"Financial Year (Apr - Mar), 2015"
198,India,12,ARUNACHAL PRADESH,2015-16,Cycle 1,Phosphorous (P),VL,12089,19434,2015,"Financial Year (Apr - Mar), 2015"
